[11657] [05-09-2012 16:30:17]:	Finished writing sequence region
[11657] [05-09-2012 16:34:19]:	going to write exon:   _DDB0202025_exon_DDB0232428:4715352..4715514
[11657] [05-09-2012 16:34:19]:	going to write exon:   _DDB0202025_exon_DDB0232428:4715121..4715307
[11657] [05-09-2012 16:34:19]:	going to write exon:   _DDB0266555_CDS_DDB0232428:4725377..4725390
[11657] [05-09-2012 16:34:19]:	going to write exon:   _DDB0266555_CDS_DDB0232428:4725465..4725695
[11657] [05-09-2012 16:34:19]:	going to write exon:   _DDB0347873_exon_DDB0232428:4734865..4734950
[11657] [05-09-2012 16:34:19]:	going to write exon:   _DDB0347873_exon_DDB0232428:4735035..4735107
[11657] [05-09-2012 16:34:19]:	going to write exon:   _DDB0347873_exon_DDB0232428:4735212..4735241
[11657] [05-09-2012 16:34:19]:	going to write exon:   _DDB0347173_exon_DDB0232428:4745421..4745630
[11657] [05-09-2012 16:34:19]:	going to write exon:   _DDB0347173_exon_DDB0232428:4745715..4745805
[11657] [05-09-2012 16:34:19]:	going to write exon:   _DDB0347173_exon_DDB0232428:4745906..4746044
[11657] [05-09-2012 16:34:19]:	going to write exon:   _DDB0347173_exon_DDB0232428:4746133..4746829
[11657] [05-09-2012 16:34:19]:	going to write exon:   _DDB0347173_exon_DDB0232428:4746920..4748710
[11657] [05-09-2012 16:34:19]:	going to write exon:   _DDB0347173_exon_DDB0232428:4748795..4748998
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0346759_exon_DDB0232428:4079318..4079519
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0346759_exon_DDB0232428:4078814..4079044
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0346759_exon_DDB0232428:4076748..4078591
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0346759_exon_DDB0232428:4075825..4076619
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0346759_exon_DDB0232428:4075571..4075743
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0233131_CDS_DDB0232428:4089249..4089294
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0233131_CDS_DDB0232428:4088000..4089150
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0233131_CDS_DDB0232428:4082407..4087926
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0306608_exon_DDB0232428:4092867..4093572
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0306608_exon_DDB0232428:4092192..4092741
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0307707_exon_DDB0232428:4094300..4096106
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0308385_exon_DDB0232428:4103220..4104786
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0306609_exon_DDB0232428:4105654..4105730
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0306609_exon_DDB0232428:4105849..4106196
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0306609_exon_DDB0232428:4106282..4106522
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0307446_exon_DDB0232428:4106976..4111104
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0220621_CDS_DDB0189305:4106630..4106641
[11657] [05-09-2012 16:34:20]:	going to write exon:   _DDB0220621_CDS_DDB0189305:4107416..4107795
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0307447_exon_DDB0232428:4131166..4135261
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0307447_exon_DDB0232428:4131016..4131088
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0307447_exon_DDB0232428:4130854..4130900
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0307447_exon_DDB0232428:4130693..4130779
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0306610_exon_DDB0232428:4143231..4143292
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0306610_exon_DDB0232428:4143558..4144506
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0306610_exon_DDB0232428:4144589..4144922
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0306610_exon_DDB0232428:4145018..4145342
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0306610_exon_DDB0232428:4145427..4147175
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0231768_CDS_DDB0189305:4143598..4143659
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0231768_CDS_DDB0189305:4143917..4144865
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0231768_CDS_DDB0189305:4144950..4145283
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0231768_CDS_DDB0189305:4145373..4145697
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0231768_CDS_DDB0189305:4145786..4147534
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0305329_CDS_DDB0232428:4194767..4194846
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0305329_CDS_DDB0232428:4194167..4194628
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0306612_exon_DDB0232428:4198051..4198825
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0308386_exon_DDB0232428:4199146..4199917
[11657] [05-09-2012 16:34:21]:	going to write exon:   _DDB0233953_CDS_DDB0232428:4210303..4210353
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0233953_CDS_DDB0232428:4208287..4210178
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0307450_exon_DDB0232428:4212240..4214067
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0229970_CDS_DDB0189305:4219620..4219803
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0229970_CDS_DDB0189305:4217701..4219552
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0238855_CDS_DDB0232428:4227274..4227446
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0238855_CDS_DDB0232428:4226100..4227175
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0238855_CDS_DDB0232428:4225954..4226039
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0238855_CDS_DDB0232428:4225841..4225865
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0306614_exon_DDB0232428:4240743..4241893
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0306614_exon_DDB0232428:4238877..4240652
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0306615_exon_DDB0232428:4251450..4253061
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0306616_exon_DDB0232428:4260973..4261313
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0306616_exon_DDB0232428:4260143..4260904
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0305340_CDS_DDB0232428:4272252..4272478
[11657] [05-09-2012 16:34:22]:	going to write exon:   _DDB0305340_CDS_DDB0232428:4271882..4272049
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0231532_CDS_DDB0189305:3737175..3738178
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0231532_CDS_DDB0189305:3736923..3737082
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0231532_CDS_DDB0189305:3736723..3736842
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0231532_CDS_DDB0189305:3736084..3736639
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0304996_CDS_DDB0232428:3152347..3152500
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0304996_CDS_DDB0232428:3152621..3153011
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0304996_CDS_DDB0232428:3153154..3153298
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0304996_CDS_DDB0232428:3153430..3153507
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0304996_CDS_DDB0232428:3153633..3153799
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0305000_CDS_DDB0232428:3155420..3155549
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0305000_CDS_DDB0232428:3155800..3157129
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0349028_exon_DDB0232428:3165256..3165853
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0349028_exon_DDB0232428:3164917..3165154
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0252566_CDS_DDB0232428:3796606..3796646
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0252566_CDS_DDB0232428:3796812..3796844
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0252566_CDS_DDB0232428:3797024..3797645
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0201899_CDS_DDB0189305:3823811..3823828
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0201899_CDS_DDB0189305:3823868..3823974
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0238870_CDS_DDB0232428:3859397..3859982
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0238870_CDS_DDB0232428:3860084..3861293
[11657] [05-09-2012 16:34:23]:	going to write exon:   _DDB0238870_CDS_DDB0232428:3861386..3861680
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0346776_exon_DDB0232428:3883221..3883583
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0346776_exon_DDB0232428:3883016..3883086
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0305468_CDS_DDB0232428:3908574..3909660
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0305468_CDS_DDB0232428:3908436..3908475
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0201911_CDS_DDB0189305:3926486..3926927
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0201911_CDS_DDB0189305:3926307..3926432
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0201911_CDS_DDB0189305:3925953..3926230
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0306278_CDS_DDB0232428:4002802..4005041
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0306278_CDS_DDB0232428:4005117..4005323
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0239157_CDS_DDB0232428:184607..185832
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0239157_CDS_DDB0232428:185906..186454
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0237930_CDS_DDB0232428:3914309..3914515
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0237930_CDS_DDB0232428:3914611..3914767
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0237930_CDS_DDB0232428:3914892..3914956
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0237930_CDS_DDB0232428:3915081..3915244
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0237930_CDS_DDB0232428:3915344..3915463
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0306368_CDS_DDB0232428:2395861..2396208
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0306368_CDS_DDB0232428:2396308..2396833
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0306368_CDS_DDB0232428:2396936..2397017
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0306368_CDS_DDB0232428:2397092..2397415
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0306368_CDS_DDB0232428:2397503..2397880
[11657] [05-09-2012 16:34:24]:	going to write exon:   _DDB0267043_CDS_DDB0232428:589722..589828
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0267043_CDS_DDB0232428:589287..589623
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0267043_CDS_DDB0232428:585585..589172
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0349282_exon_DDB0232428:530162..530978
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0349283_exon_DDB0232428:529692..529696
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0349283_exon_DDB0232428:529187..529450
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0305158_CDS_DDB0232428:2684572..2684635
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0305158_CDS_DDB0232428:2684149..2684472
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0305158_CDS_DDB0232428:2683274..2684043
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0305158_CDS_DDB0232428:2682746..2683178
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0201742_CDS_DDB0189305:2851089..2852424
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0252584_CDS_DDB0232428:3271014..3271230
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0252584_CDS_DDB0232428:3270164..3270932
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0237532_CDS_DDB0232428:4068159..4068390
[11657] [05-09-2012 16:34:25]:	going to write exon:   _DDB0237532_CDS_DDB0232428:4068497..4069244
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0346792_exon_DDB0232428:4262006..4262448
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0346792_exon_DDB0232428:4262629..4263138
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0231383_CDS_DDB0189305:4268806..4268873
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0231383_CDS_DDB0189305:4269015..4269090
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0231383_CDS_DDB0189305:4269228..4269950
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0305351_CDS_DDB0232428:3944437..3944688
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0305351_CDS_DDB0232428:3944803..3944996
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0220789_CDS_DDB0189305:820976..821002
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0220789_CDS_DDB0189305:818812..820856
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0347900_exon_DDB0232428:1339033..1339248
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0347900_exon_DDB0232428:1339330..1339534
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0347900_exon_DDB0232428:1339639..1339901
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0346705_exon_DDB0232428:1851944..1852544
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0346705_exon_DDB0232428:1851312..1851942
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0347915_exon_DDB0232428:3201587..3202019
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0229931_CDS_DDB0189305:3277834..3278050
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0307394_exon_DDB0232428:598341..598501
[11657] [05-09-2012 16:34:26]:	going to write exon:   _DDB0307394_exon_DDB0232428:595743..598205
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0347971_exon_DDB0232428:3385868..3388102
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0347971_exon_DDB0232428:3383679..3385774
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0305304_CDS_DDB0232428:4842233..4844540
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0201673_CDS_DDB0189305:2406357..2406999
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0305160_CDS_DDB0232428:4800144..4800348
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0305160_CDS_DDB0232428:4800454..4801783
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0305160_CDS_DDB0232428:4801873..4802005
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0302416_CDS_DDB0232428:2941157..2941175
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0302416_CDS_DDB0232428:2940067..2941051
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0307106_exon_DDB0232428:4678096..4678854
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0307106_exon_DDB0232428:4674129..4678015
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0307469_exon_DDB0232428:3393750..3394743
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0306515_exon_DDB0232428:1319018..1319387
[11657] [05-09-2012 16:34:27]:	going to write exon:   _DDB0306515_exon_DDB0232428:1318762..1318915
[11657] [05-09-2012 16:34:28]:	going to write exon:   _DDB0233681_CDS_DDB0232428:2132484..2132526
[11657] [05-09-2012 16:34:28]:	going to write exon:   _DDB0233681_CDS_DDB0232428:2131660..2132341
[11657] [05-09-2012 16:34:28]:	going to write exon:   _DDB0233681_CDS_DDB0232428:2131110..2131554
[11657] [05-09-2012 16:34:28]:	going to write exon:   _DDB0233681_CDS_DDB0232428:2130760..2130994
[11657] [05-09-2012 16:34:28]:	going to write exon:   _DDB0190630_CDS_DDB0189305:3762840..3763134
[11657] [05-09-2012 16:34:28]:	going to write exon:   _DDB0306522_exon_DDB0232428:1449323..1449683
[11657] [05-09-2012 16:34:28]:	going to write exon:   _DDB0306522_exon_DDB0232428:1448031..1449225
[11657] [05-09-2012 16:34:28]:	going to write exon:   _DDB0216491_CDS_DDB0189305:106167..106175
[11657] [05-09-2012 16:34:28]:	going to write exon:   _DDB0216491_CDS_DDB0189305:105768..105922
[11657] [05-09-2012 16:34:28]:	going to write exon:   _DDB0348263_exon_DDB0232428:2875150..2876971
[11657] [05-09-2012 16:34:28]:	going to write exon:   _DDB0306577_exon_DDB0232428:3077285..3078470
[11657] [05-09-2012 16:34:28]:	going to write exon:   _DDB0216493_CDS_DDB0189305:108121..110386
[11657] [05-09-2012 16:34:28]:	going to write exon:   _DDB0231334_CDS_DDB0189305:1446559..1447942
[11657] [05-09-2012 16:34:29]:	going to write exon:   _DDB0189342_CDS_DDB0189305:261905..262038
[11657] [05-09-2012 16:34:29]:	going to write exon:   _DDB0189342_CDS_DDB0189305:262421..262540
[11657] [05-09-2012 16:34:29]:	going to write exon:   _DDB0234203_CDS_DDB0232428:2311231..2323957
[11657] [05-09-2012 16:34:29]:	going to write exon:   _DDB0306559_exon_DDB0232428:2331886..2332531
[11657] [05-09-2012 16:34:29]:	going to write exon:   _DDB0238742_CDS_DDB0232428:2811309..2812227
[11657] [05-09-2012 16:34:29]:	going to write exon:   _DDB0202110_CDS_DDB0189305:552459..552539
[11657] [05-09-2012 16:34:29]:	going to write exon:   _DDB0202110_CDS_DDB0189305:552659..552723
[11657] [05-09-2012 16:34:29]:	going to write exon:   _DDB0202110_CDS_DDB0189305:552755..552866
[11657] [05-09-2012 16:34:29]:	going to write exon:   _DDB0346778_exon_DDB0232428:4276542..4276719
[11657] [05-09-2012 16:34:29]:	going to write exon:   _DDB0346778_exon_DDB0232428:4274868..4276419
[11657] [05-09-2012 16:34:29]:	going to write exon:   _DDB0216438_CDS_DDB0189305:4747..5755
[11657] [05-09-2012 16:34:29]:	going to write exon:   _DDB0216469_CDS_DDB0189305:56232..57077
[11657] [05-09-2012 16:34:29]:	going to write exon:   _DDB0190985_CDS_DDB0189305:4678333..4678741
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0231733_CDS_DDB0189305:4650058..4650179
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0231733_CDS_DDB0189305:4650248..4650313
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0231733_CDS_DDB0189305:4650377..4650412
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0231733_CDS_DDB0189305:4650495..4650940
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0231733_CDS_DDB0189305:4651056..4651938
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0216664_CDS_DDB0189305:2959307..2961299
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0306221_CDS_DDB0232428:1314807..1315802
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0306221_CDS_DDB0232428:1315912..1316513
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0307438_exon_DDB0232428:3690036..3690484
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0307438_exon_DDB0232428:3690559..3690714
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0307289_CDS_DDB0232428:3707388..3707422
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0307289_CDS_DDB0232428:3705669..3706947
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0307289_CDS_DDB0232428:3701970..3705443
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0347399_exon_DDB0232428:3710386..3710746
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0233915_CDS_DDB0232428:3719483..3719538
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0233915_CDS_DDB0232428:3719629..3722655
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0266532_CDS_DDB0232428:3739069..3739165
[11657] [05-09-2012 16:34:30]:	going to write exon:   _DDB0266532_CDS_DDB0232428:3737737..3738922
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0308381_exon_DDB0232428:3746285..3746842
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0308381_exon_DDB0232428:3745940..3746219
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0308381_exon_DDB0232428:3745024..3745871
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0307272_CDS_DDB0232428:1323328..1323508
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0307272_CDS_DDB0232428:1322687..1323176
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0308348_exon_DDB0232428:1334448..1338114
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0189739_CDS_DDB0189305:1348330..1349053
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0191116_CDS_DDB0189305:1829250..1832556
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0191116_CDS_DDB0189305:1829011..1829152
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0233766_CDS_DDB0232428:1799318..1801673
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0308388_exon_DDB0232428:4339529..4340174
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0306118_CDS_DDB0232428:4389262..4389447
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0306118_CDS_DDB0232428:4389560..4389718
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0306118_CDS_DDB0232428:4389849..4390165
[11657] [05-09-2012 16:34:31]:	going to write exon:   _DDB0306118_CDS_DDB0232428:4390264..4390889
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0232146_CDS_DDB0232428:4335146..4335222
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0232146_CDS_DDB0232428:4334770..4334905
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0232146_CDS_DDB0232428:4332328..4334697
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0266790_CDS_DDB0232428:4096585..4096661
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0266790_CDS_DDB0232428:4096863..4097420
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0347422_exon_DDB0232428:4098006..4098436
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0347422_exon_DDB0232428:4098637..4098922
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0347422_exon_DDB0232428:4099004..4099307
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0347422_exon_DDB0232428:4099395..4099719
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0347422_exon_DDB0232428:4099874..4100210
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0347422_exon_DDB0232428:4100278..4100635
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0347422_exon_DDB0232428:4100719..4102857
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0266788_exon_DDB0232428:4098006..4098436
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0266788_exon_DDB0232428:4098637..4098922
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0266788_exon_DDB0232428:4099004..4099307
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0266788_exon_DDB0232428:4099395..4099719
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0266788_exon_DDB0232428:4099874..4100237
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0266788_exon_DDB0232428:4100278..4100635
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0266788_exon_DDB0232428:4100719..4102857
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0346777_exon_DDB0232428:4129865..4130007
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0346777_exon_DDB0232428:4129374..4129802
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0346777_exon_DDB0232428:4128725..4129308
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0346777_exon_DDB0232428:4127505..4128623
[11657] [05-09-2012 16:34:32]:	going to write exon:   _DDB0347881_exon_DDB0232428:3328823..3329816
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0191311_CDS_DDB0189305:3474599..3474716
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0191311_CDS_DDB0189305:3474143..3474403
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0191311_CDS_DDB0189305:3473521..3473876
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0191311_CDS_DDB0189305:3472030..3473410
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0191223_CDS_DDB0189305:752398..752531
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0191223_CDS_DDB0189305:752680..753761
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0191223_CDS_DDB0189305:753851..757503
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0267078_CDS_DDB0232428:230932..230944
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0267078_CDS_DDB0232428:230926..230929
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0267078_CDS_DDB0232428:230175..230734
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0267078_CDS_DDB0232428:229144..230004
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0216314_CDS_DDB0189305:1413691..1413751
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0216314_CDS_DDB0189305:1413845..1415786
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0189765_CDS_DDB0189305:1421864..1422158
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0347354_exon_DDB0232428:1432460..1432473
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0347354_exon_DDB0232428:1432554..1432727
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0305288_CDS_DDB0232428:1445777..1445868
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0305288_CDS_DDB0232428:1445454..1445687
[11657] [05-09-2012 16:34:33]:	going to write exon:   _DDB0305288_CDS_DDB0232428:1445228..1445375
[11657] [05-09-2012 16:34:34]:	going to write exon:   _DDB0307280_CDS_DDB0232428:1919973..1924218
[11657] [05-09-2012 16:34:34]:	going to write exon:   _DDB0189953_CDS_DDB0189305:1922714..1923692
[11657] [05-09-2012 16:34:34]:	going to write exon:   _DDB0266534_CDS_DDB0232428:1994315..1994434
[11657] [05-09-2012 16:34:34]:	going to write exon:   _DDB0266534_CDS_DDB0232428:1994505..1994524
[11657] [05-09-2012 16:34:34]:	going to write exon:   _DDB0266534_CDS_DDB0232428:1994623..1994792
